lad_code,lad_lat,lad_lng
E06000001,54.67614,-1.27018
E06000002,54.54467,-1.21099
E06000003,54.56752,-1.00608
E06000004,54.55687,-1.30664
E06000005,54.53534,-1.56835
E06000006,53.33424,-2.68853
E06000007,53.39164,-2.56167
E06000008,53.7008,-2.46361
E06000009,53.82164,-3.02199
E06000010,53.76921,-0.30385
E06000011,53.88112,-0.66195
E06000012,53.52327,-0.13911
E06000013,53.58643,-0.52407
E06000014,53.96583,-1.07376
E06000015,52.91464,-1.47186
E06000016,52.63592,-1.1304
E06000017,52.66765,-0.6263
E06000018,52.9542,-1.16667
E06000019,52.08162,-2.73931
E06000020,52.71417,-2.48941
E06000021,53.01706,-2.15888
E06000022,51.35604,-2.48657
E06000023,51.47113,-2.57742
E06000024,51.39706,-2.75438
E06000025,51.54672,-2.46926
E06000026,50.40494,-4.11297
E06000027,50.47092,-3.55523
E06000030,51.57764,-1.73369
E06000031,52.59214,-0.26874
E06000032,51.89102,-0.42319
E06000033,51.54917,0.706923
E06000034,51.50996,0.334874
E06000035,51.44772,0.563174
E06000036,51.41129,-0.73364
E06000037,51.44559,-1.27365
E06000038,51.45301,-0.99075
E06000039,51.5035,-0.57617
E06000040,51.48034,-0.67541
E06000041,51.42296,-0.89935
E06000042,52.07241,-0.7407
E06000043,50.8465,-0.15081
E06000044,50.808,-1.07006
E06000045,50.9212,-1.39952
E06000046,50.67129,-1.33366
E06000047,54.68513,-1.84047
E06000049,53.16793,-2.29299
E06000050,53.16336,-2.70298
E06000051,52.62209,-2.73667
E06000052,50.45022,-4.64254
E06000053,49.92332,-6.30217
E06000054,51.32882,-1.92655
E06000055,52.19628,-0.45463
E06000056,51.99903,-0.47754
E06000057,55.30038,-2.07523
E06000058,50.74609,-1.84807
E06000059,50.79698,-2.41459
E06000060,51.76967,-0.80573
E06000061,52.42547,-0.62504
E06000062,52.26898,-1.01682
E06000063,54.68606,-3.30797
E06000064,54.4917,-2.71336
E06000065,54.0937,-1.55033
E06000066,51.07183,-3.29604
E07000008,52.20017,0.126436
E07000009,52.35788,0.283149
E07000010,52.53545,0.008927
E07000011,52.35314,-0.2247
E07000012,52.10805,0.091017
E07000032,53.02884,-1.46219
E07000033,53.23874,-1.27228
E07000034,53.25574,-1.40115
E07000035,53.12327,-1.70708
E07000036,52.93819,-1.35089
E07000037,53.38563,-1.844
E07000038,53.16243,-1.44253
E07000039,52.8249,-1.5348
E07000040,50.75761,-3.22364
E07000041,50.71782,-3.51368
E07000042,50.86884,-3.5921
E07000043,51.07621,-3.92688
E07000044,50.37196,-3.81996
E07000045,50.60981,-3.65289
E07000046,50.90739,-4.21728
E07000047,50.66482,-4.03358
E07000061,50.77387,0.258516
E07000062,50.86724,0.578395
E07000063,50.83342,0.007658
E07000064,50.94871,0.542937
E07000065,50.93323,0.205156
E07000066,51.59037,0.475056
E07000067,51.91635,0.575912
E07000068,51.64108,0.290091
E07000069,51.56159,0.588127
E07000070,51.73503,0.491177
E07000071,51.87701,0.85982
E07000072,51.71278,0.154146
E07000073,51.76614,0.103888
E07000074,51.77458,0.773106
E07000075,51.5909,0.683442
E07000076,51.85674,1.108981
E07000077,51.9359,0.294499
E07000078,51.89861,-2.07515
E07000079,51.77255,-1.97058
E07000080,51.81249,-2.47755
E07000081,51.84641,-2.23263
E07000082,51.72001,-2.30818
E07000083,51.93487,-2.19997
E07000084,51.25937,-1.22023
E07000085,51.05774,-0.93965
E07000086,50.94876,-1.32947
E07000087,50.85388,-1.23742
E07000088,50.80636,-1.16731
E07000089,51.28198,-0.88321
E07000090,50.87231,-1.00398
E07000091,50.85751,-1.59293
E07000092,51.27815,-0.76807
E07000093,51.13417,-1.50214
E07000094,51.03002,-1.24393
E07000095,51.7208,-0.05073
E07000096,51.76845,-0.55098
E07000098,51.68017,-0.26899
E07000099,51.95732,-0.22316
E07000102,51.65632,-0.45005
E07000103,51.6717,-0.40429
E07000105,51.13096,0.823374
E07000106,51.28102,1.096328
E07000107,51.43373,0.245276
E07000108,51.21176,1.276887
E07000109,51.39649,0.398744
E07000110,51.23566,0.584061
E07000111,51.27563,0.188936
E07000112,51.07215,1.000796
E07000113,51.32251,0.776893
E07000114,51.35252,1.328226
E07000115,51.26063,0.349305
E07000116,51.10253,0.471631
E07000117,53.77404,-2.2308
E07000118,53.67238,-2.61923
E07000119,53.79709,-2.91914
E07000120,53.75644,-2.38964
E07000121,54.07901,-2.6603
E07000122,53.88636,-2.18956
E07000123,53.82201,-2.71804
E07000124,53.92451,-2.41737
E07000125,53.68476,-2.26149
E07000126,53.72676,-2.72871
E07000127,53.61284,-2.869
E07000128,53.89991,-2.8036
E07000129,52.57706,-1.19887
E07000130,52.7399,-1.13694
E07000131,52.53764,-0.90228
E07000132,52.60877,-1.41755
E07000133,52.80326,-0.8544
E07000134,52.74251,-1.42215
E07000135,52.58875,-1.093
E07000136,52.97797,-0.11218
E07000137,53.26446,0.020516
E07000138,53.21921,-0.55848
E07000139,53.08059,-0.47664
E07000140,52.78759,-0.03057
E07000141,52.84885,-0.49568
E07000142,53.40044,-0.50774
E07000143,52.59422,0.818717
E07000144,52.69622,1.252273
E07000145,52.68439,1.64951
E07000146,52.71285,0.533245
E07000147,52.83389,1.132099
E07000148,52.64013,1.284979
E07000149,52.51217,1.373247
E07000170,53.09747,-1.25422
E07000171,53.35604,-0.9787
E07000172,52.97208,-1.25944
E07000173,53.02434,-1.11907
E07000174,53.16703,-1.17804
E07000175,53.1096,-0.94643
E07000176,52.9124,-1.01097
E07000177,51.88718,-1.28506
E07000178,51.75357,-1.24405
E07000179,51.62288,-1.07847
E07000180,51.65444,-1.48537
E07000181,51.83991,-1.50292
E07000192,52.70166,-1.98277
E07000193,52.83652,-1.81441
E07000194,52.69615,-1.76059
E07000195,53.00347,-2.32628
E07000196,52.69691,-2.15496
E07000197,52.84791,-2.16477
E07000198,53.06928,-1.99334
E07000199,52.62028,-1.68455
E07000200,52.0645,0.916149
E07000202,52.05592,1.166175
E07000203,52.21856,1.096951
E07000207,51.36095,-0.3944
E07000208,51.33946,-0.26172
E07000209,51.25366,-0.56257
E07000210,51.22749,-0.30603
E07000211,51.25846,-0.19871
E07000212,51.39274,-0.53855
E07000213,51.41552,-0.46254
E07000214,51.33612,-0.68983
E07000215,51.23584,-0.04809
E07000216,51.15686,-0.62343
E07000217,51.30839,-0.57981
E07000218,52.56486,-1.6242
E07000219,52.50094,-1.47964
E07000220,52.38228,-1.31828
E07000221,52.16155,-1.63565
E07000222,52.30142,-1.58369
E07000223,50.84572,-0.32417
E07000224,50.84321,-0.64999
E07000225,50.94177,-0.7163
E07000226,51.12357,-0.19533
E07000227,51.00272,-0.38126
E07000228,51.05954,-0.10275
E07000229,50.8331,-0.40127
E07000234,52.36169,-2.00376
E07000235,52.16759,-2.33092
E07000236,52.28541,-1.9471
E07000237,52.19477,-2.20997
E07000238,52.12886,-2.01614
E07000239,52.3853,-2.23494
E07000240,51.77356,-0.3407
E07000241,51.76087,-0.18518
E07000242,51.86485,0.002739
E07000243,51.90539,-0.18987
E07000244,52.244,1.456187
E07000245,52.3084,0.652723
E08000001,53.5845,-2.47952
E08000002,53.59309,-2.3088
E08000003,53.47009,-2.23359
E08000004,53.55768,-2.05274
E08000005,53.60741,-2.14784
E08000006,53.47927,-2.38485
E08000007,53.39111,-2.12465
E08000008,53.47867,-2.077
E08000009,53.41672,-2.36572
E08000010,53.51445,-2.57242
E08000011,53.43788,-2.83297
E08000012,53.40833,-2.91368
E08000013,53.45862,-2.70309
E08000014,53.48212,-2.99177
E08000015,53.37478,-3.06703
E08000016,53.52577,-1.54925
E08000017,53.52695,-1.10894
E08000018,53.39553,-1.28651
E08000019,53.40358,-1.54254
E08000021,55.021,-1.65297
E08000022,55.02896,-1.50923
E08000023,54.96988,-1.44679
E08000024,54.85719,-1.43344
E08000025,52.48404,-1.88141
E08000026,52.41423,-1.51905
E08000027,52.49513,-2.10171
E08000028,52.51477,-2.00771
E08000029,52.431,-1.71558
E08000030,52.60505,-1.97043
E08000031,52.59788,-2.12746
E08000032,53.84382,-1.87389
E08000033,53.72047,-1.9618
E08000034,53.64233,-1.78085
E08000035,53.82273,-1.50736
E08000036,53.65918,-1.42091
E08000037,54.93115,-1.68696
E09000001,51.51564,-0.09351
E09000002,51.54555,0.129479
E09000003,51.61107,-0.21819
E09000004,51.45822,0.146212
E09000005,51.56438,-0.27568
E09000006,51.37266,0.039246
E09000007,51.54305,-0.16291
E09000008,51.36598,-0.07761
E09000009,51.52442,-0.3141
E09000010,51.64889,-0.08144
E09000011,51.46394,0.050093
E09000012,51.55492,-0.06045
E09000013,51.48733,-0.21735
E09000014,51.58771,-0.1067
E09000015,51.59467,-0.33598
E09000016,51.56519,0.235368
E09000017,51.53664,-0.44179
E09000018,51.46238,-0.37855
E09000019,51.54546,-0.10989
E09000020,51.49645,-0.18978
E09000021,51.39296,-0.28367
E09000022,51.46445,-0.11385
E09000023,51.4423,-0.01734
E09000024,51.41058,-0.18868
E09000025,51.53149,0.027261
E09000026,51.58588,0.070085
E09000027,51.44035,-0.28914
E09000028,51.46594,-0.07308
E09000029,51.35755,-0.17226
E09000030,51.51554,-0.03647
E09000031,51.59461,-0.0188
E09000032,51.4524,-0.20021
E09000033,51.51221,-0.15295
N09000001,54.69386,-6.1776
N09000002,54.3867,-6.43455
N09000003,54.59853,-5.92535
N09000004,55.03962,-6.5996
N09000005,54.80904,-7.42064
N09000006,54.38521,-7.5271
N09000007,54.49752,-6.03545
N09000008,54.86462,-6.14645
N09000009,54.55273,-6.8889
N09000010,54.14953,-6.08891
N09000011,54.56409,-5.64568
S12000005,56.14784,-3.75316
S12000006,55.09621,-4.02863
S12000008,55.49674,-4.29057
S12000010,55.94207,-2.72435
S12000011,55.74868,-4.36058
S12000013,58.19938,-6.65722
S12000014,56.00077,-3.83619
S12000017,57.58657,-4.66103
S12000018,55.9003,-4.75387
S12000019,55.82111,-3.11738
S12000020,57.4768,-3.20202
S12000021,55.72789,-4.7246
S12000023,58.94334,-2.90025
S12000026,55.52595,-2.85869
S12000027,60.50495,-1.37344
S12000028,55.23008,-4.72899
S12000029,55.60453,-3.83272
S12000030,56.24953,-4.32595
S12000033,57.16697,-2.20398
S12000034,57.23469,-2.79208
S12000035,56.28944,-5.22114
S12000036,55.9112,-3.27826
S12000038,55.84862,-4.56834
S12000039,56.0014,-4.52074
S12000040,55.8992,-3.60909
S12000041,56.72518,-2.8921
S12000042,56.4776,-2.97095
S12000045,55.95829,-4.22417
S12000047,56.23112,-2.98251
S12000048,56.57528,-3.88484
S12000049,55.87649,-4.21479
S12000050,55.86814,-3.9514
W06000001,53.27931,-4.32298
W06000002,52.89883,-3.77715
W06000003,53.14739,-3.74646
W06000004,53.08833,-3.34761
W06000005,53.21471,-3.18248
W06000006,53.00167,-2.99203
W06000008,52.29795,-3.94993
W06000009,51.85513,-4.90818
W06000010,51.89495,-4.21109
W06000011,51.65806,-3.96723
W06000012,51.6445,-3.74638
W06000013,51.5606,-3.61375
W06000014,51.44836,-3.39801
W06000015,51.50254,-3.22209
W06000016,51.62185,-3.41359
W06000018,51.65001,-3.19753
W06000019,51.75364,-3.18592
W06000020,51.69836,-3.05101
W06000021,51.77827,-2.9028
W06000022,51.58231,-2.89769
W06000023,52.34863,-3.43531
W06000024,51.7484,-3.36425
